conversation,speaker,chapter_per_conversation
" You remind me of my Guru. I used to ask her about the
 way to attain peace, but did not get a direct answer. I was
 someone who did not know the meaning of peace. Waiting
 for the lift, I used to keep pressing the button till it reached
 me. I was a restless man all the time and I said I wanted
 peace. Your words remind me of that line she said, 'you
 ask me every time about peace, but do you do any karmas
 of peace?' I could not relate to what she was saying. When
 I went outside I saw that somebody had parked his car in
 front of mine. I wanted to kick that car. I opened my car
 door and wanted to honk, and I remembered what she had
 said inside, about doing karmas of peace.
 ",SO,4
" I want peace but I think it has to come from outside.
 Similarly, I want happiness, I want love, and so on. Want
 means that someone, somewhere has to do something so that
 I will get it. On the other hand, spirituality teaches us that I
 am peace. I have to be at peace while I am doing everything.
 I am a blissful being; I am a love-full being.
 ",SS,4
" But if I am, then why do I want?
 ",SO,4
" Because I have forgotten that I am. It's like the keys in your
 pocket or the spectacles on your head. You may be looking
 for them everywhere and even get others to join you in that
 search. 'Come on, everyone, look for my keys. Where are my
 keys?' You look for it everywhere except where they actually are.
 ",SS,4
" How does one realize or even begin to understand that
 I am peace? How do you prove this?
 ",SO,4
" By experimenting. Everything is a belief, we experiment
 with it, and if we get the result, we take it as the truth. Keep
 searching for peace, for thats the purpose of life'. If the purpose
 of life is to keep searching for peace, then when will we find it?
 But now we understand this is our nature. Let me experiment
 a peaceful being. Now I will use this awareness in every
 act that I do, with every person I meet. Every interaction I have
 today, I will only remember that I am the one who is doing
 it. Think of a doctor. He knows he is a doctor, so if someone
 meets with an accident while he is there on the road, he will
 immediately get into the healing job. But if the doctor forgets
 that he is a doctor, even if there are people dying around him
 he won't do anything because he has forgotten he is a doctor. So
 healing won't come into action. But the minute he remembers
 again that I am a doctor, he will start healing. So it's about
 remembrance. I am a peaceful being was forgotten. Because it
 was forgotten, I was looking for peace outside. Now try a new
 belief system. Try - it's still not the truth, it's only a belief Just
 experiment with it. If we get the result, then it is the truth.
 ",SS,4
" How will you experiment?
 ",SO,4
" I go back to work today and find that there is a situation.
 I just remind myself that I am a peaceful being and then act.
 ",SS,4
" I just keep on at this like a mantra.' I am a peaceful being.
 I am a peaceful being. A peon comes and says something
 that disturbs me and I shout shut up: Again, I am angry
 Then I start the mantra again, I am peaceful being
 ",SO,4
" It's not a mantra, it's a conviction. I am telling myself who
 I am and then preparing myself. Everything that I do will
 be out of this consciousness. This is who I am. It's a simple
 thing. Let us say there is a space here in the mind. I think it
 is empty and say I want happiness, I want peace and I want
 love. I go to everyone expecting that they will fill my space.
 Please do this so that I will be happy. Please talk to me nicely
 so that I will be peaceful. This is one way of living life; this is
 one belief system. The other belief system is that my space is
 full but now I have to go through the whole day taking care
 that its contents don't spill out. That's all - it's full but I have
 to take care of it. This is the journey; this is what Awakening
 is all about. It is about understanding
 that this is who I am, that now I am peaceful. I just have to
 remember that while I am talking to you its contents should
 not spill out.
 ",SS,4
" I am peaceful. The moment I am not peaceful, it spills
 out?
 ",SO,4
" One way is: I do this so that I will be happy. The other
 way is: I am happy and now I will do this.
 ",SS,4
" I am happy and I will try to make you happy too.
 ",SO,4
" I don't know whether I will be able to make other peopie
 happy because that is another deep-rooted belief system.
 ",SS,4
" What I mean is, when you are around a happy person,
 you also feel happy because the atmosphere is happy.
 ",SO,4
" True, but someone can be around a happy person and
 still be very sad unless they take charge of their thoughts and
 feelings. This is again a deep-rooted belief system that we can
 make others happy; no one can make the other happy unless
 they want to be happy themselves
 ",SS,4
" Then no one can make you sad too.
 ",SO,4
" Absolutely, and that is what it means when I say that I
 am not dependent on other people for my emotions and my
 feelings. The most established belief system is - 'Happiness' is
 dependent on other people.
 ",SS,4
" What does love do to people? She makes me happy, he
 makes me happy.
 ",SO,4
" When I am with this person, I have nice thoughts and
 that's why I tell myself I am happy when I am with this
 person. Then I tell myself that this person makes me happy.
 This is how we also depend on objects - whether a car or
 a piece of jewellery - to create similar kinds of thoughts
 We use these as stimulus to create a particular kind of thought.
 Between the stimulus and the response is my freedom to
 choose my response. I have the freedom to decide how I am
 going to respond. Today you talk to me nicely and I am very
 happy; tomorow you do something that according to me is
 not right, and I am hurt. But you are still the same.
 ",SS,4
" I am not still the same; I was different yesterday. I
 was speaking to you nicely. I am the same person but my
 behaviour is changed, so you will be shocked by this changed
 behaviour
 ",SO,4
" So my response is dependent on your behaviour. Are you
 always going to behave the way I want you to?
 ",SS,4
" No, I am going to be in different moods on different
 days, at different times.
 ",SO,4
" Are you wrong?
 ",SS,4
" It is normal.
 ",SO,4
" Are you wrong?
 ",SS,4
" I am right.
 ",SO,4
" According to?
 ",SS,4
" Myself.
 ",SO,4
" But according to me, you are wrong. So I have conditioned
 myself to believe that this is right and this is wrong. I want
 people to be right so that I will be happy.
 ",SS,4
" You mean to say you are going to try to control my
 behaviour, so that you see me as always being nice to you
 I should behave as you want me to?
 ",SO,4
" Because then I will be happy.
 ",SS,4
" So are you controlling me?
 ",SO,4
" Yes, I am controlling you, and that's what we are doing
 everyday with people. We are doing that with our little
 children, with everyone around us. We want them to be or
 do or perform or behave in a particular manner because that
 will make us happy.
 Which I think is right, which I think is the way to be. I
 feel what I think is right and what the other person is doing
 is wrong, and then my happiness becomes dependent on that.
 ",SS,4
" Then what is a relationship for? Don't you depend on a
 friend? If I have some problem, I may want you to help me.
 ",SO,4
" That's fine. But my state of mind experiences pain or
 happiness being dependent on the other person's behaviour.
 Let's say I expected you to call me up last evening - if you
 don't call me, I am hurt. Why? Since my happiness is dependent
 on your behaviour
 ",SS,4
" Honestly, I still feel that is natural. If my wife speaks
 to everybody and not to me, then I will feel hurt.
 ",SO,4
" You still have a choice.
 ",SS,4
" This is what I want to learn.
 ",SO,4
" You have a choice. Okay, she did not call me up, though
 I thought she should have. I could still be stable by creating
 different thoughts. I could create the thought that she
 was busy, or that she did not feel like talking to me at
 that time.
 ",SS,4
" I think I have got the answer. One of my friends was
 telling me this incident. He had just reached his house and
 saw that it was locked. He had come from an enlightening
 seminar where there were discussions about various aspects
 of life. When he saw the locked house, in his usual mood he
 would have just broken the lock in anger. Instead, he went
 to his daughter's house, which was just next door, picked up
 the spare key and opened the door. Just as he went inside,
 his wife returned. He wanted to confront her first about the
 locked house, but instead asked her where she had been. She
 said she had been to the market and had tried to contact
 him, but his phone was switched off. He realised that he
 had switched off the phone while the seminar was going on
 This meant that she was right and so was he.
 ",SO,4
" Absolutely. Everyone is always right. It's not important
 whether they are right or they are wrong. First of all I have
 to be right - not do right but BE right. This means I first take
 care of myself and this will only happen when I gradually bring
 myself out of this mental conditioning that my state of mind
 is dependent on other people. How many people have we held
 responsible for our pain? Every time we hold other people
 responsible, we are telling ourselves it's their fault, and I am
 fine the way I am. But I have to understand that people are
 doing what they are doing; they could be cheating on me but
 the pain is my creation. Let's say you are my business partner
 and you have cheated on me, but the hurt, the resentmernt
 and the hatred that I feel are my creation. You cheated me
 financially and ethically, and that's where your power ends
 That's where the power of anybody outside ends, whether its
 a business partner, a spouse, or a child.
 Our thoughts, feelings and responses are OUR choice
 ",SS,4
" But something keeps troubling me inside.... Why can't
 I get back at him for what he has done?
 ",SO,4
" Let's say your business partner cheated on you and you
 parted ways. But now you want to do the same business that
 he is doing, with the thought, 'I want to come into the market
 as his competitor and I want to take my revenge. I believe
 I am right.' So you parted ways since your partner did not
 conduct himself in an ethical manner. But you want to now
 start a business with the feeling of taking revenge is this the
 kind of energy that you want to bring into your new work?
 Is this your thought process while starting the new venture?
 This you have to ask yourself. How you are going to think and
 feel is your choice. You are hurt and for how long you will
 remain hurt is also your choice. You want to live with your
 pain for 10 minutes, 10 days, or 10 years, is your choice. You
 can sit back, think of the situation, and relive the pain again
 and again, even years after it happened. Who is the creator of
 these emotions? It's you. In the same situation, different people
 will create different responses. So this has to be experimented
 with at every step
 ",SS,4
" So if my wife didn't call me when I expected her to,
 maybe she was busy or my phone was off, but the mind
 goes on thinking about it. What is that?
 ",SO,4
" Whose mind is it?
 ",SS,4
" My mind.
 ",SO,4
" Who is creating the thoughts?
 ",SS,4
" The mind, not me.
 ",SO,4
" Whose mind is it?
 ",SS,4
" My mind.
 ",SO,4
" So who is creating the thoughts?
 ",SS,4
" I will say my mind is creating the thoughts.
 ",SO,4
" But it's my mind, so who is creating the thoughts? I am.
 Look at yourself creating those thoughts. She should have
 called me; I was waiting for her call. So you sit back and just
 change your thoughts gradually. She didn't feel like talking to
 me at that time. It was her choice.
 ",SS,4
" She should be happy when she speaks to me, that's what
 my mind says.
 ",SO,4
" Yes, because I like people to be dependent on me. I am
 dependent too. It's this control that gives me power. I am empty
 inside and I love this idea of people being dependent on me.
 I think I am more powerful because people are dependent on
 me for feeling good. Because I am dependent on other people,
 I feel other people should also be dependent on me for feeling
 happy; how could she be happy without talking to me because
 I am not happy without talking to her? We are trapped, and
 we are trapping other people into being dependent on us. And
 all this is happening in the name of love and respect and trust,
 which is supposed to be unconditiona",SS,4
" Having told myself that I am the person
 in charge of my emotions; I cannot play the blame game
 anymore. But I think it is very difficult to understand what
 you are saying about not reacting to whatever anybody says.
 Is this possible?
 ",SO,5
" I do respond, but there is a difference. I am not saying
 that we do not respond it's like you are saying something to
 me and I am just a stone wall with no thoughts, feelings and
 emotions. That's not right. The question is which thoughts,
 which feelings, which emotions? It's not that I either react or
 don't respond at all; reaction means an automated response.
 Sometimes I have to regret my reactions. How many times we
 have to say sorry to people?
 ",SS,5
" I end up regretting my words or action so many times.
 ",SO,5
" What do we regret?
 ",SS,5
" Unnecessary retaliations.
 ",SO,5
" So we regret our own reactions. You behave in a certain
 manner and I react, and then I have to come back and apologize.
 ",SS,5
" Because I overreacted as compared to how the other
 person behaved with me.
 ",SO,5
" It's not about the magnitude of reacting: it's about my
 not being comfortable with the way I reacted. Normally what
 happens is that we measure, like you said overreacted. This
 means we are always measuring our reactions with reference
 to the other person's behaviour. If you shout at me, I double
 shout; why? We are always doing it with reference to other
 people. My personality should be mine, my responses should
 be mine, and my way of talking should be mine, irrespective
 of the other person. If I keep changing with reference to
 everyone I meet, then there will be nothing left in me that
 is of my own
 ",SS,5
" Somebody doesn't want to say hello to you, he passes by
 You think okay, he didn't say hello to me, so why should I?
 ",SO,5
" Let's say courtesy is your quality; being nice and friendly
 comes naturally to you; it's your personality. So there you are
 walking along a corridor, and you are about to say a very nice
 warm good morning to me. However, I just look through
 you and move away. I am cold at this particular moment, due
 to whatever reason - it may be my nature, my state of mind
 because of something that had happened. Maybe I am not
 courteous and because of me you give up your quality as well.
 Next, you meet someone else who behaves differently and then
 you give up another quality. You meet someone who shouts
 at you and you give up your quality of sweetness. We absorb
 their negativity and give up our quality.
 ",SS,5
" How does one stick to one's quality?
 ",SO,5
" Just by remembering that this is my personality and this
 personality is going to be out there during the whole day,
 interacting with people, irrespective of what is coming from
 outside. So if we take even one quality, let's say being courteous,
 it's a simple thing.
 ",SS,5
" Okay, this is my mantra for today: I will be courteous
 no matter how, where, why, when.
 ",SO,5
" How difficult is that? See, that's what I have to ask myself
 My nature is my nature irrespective of how, where, when, what.
 ",SS,5
" We can keep a fast even on the day we have to go to a
 restaurant or a party. In the same way, you can be strong
 enough to be courteous today.
 ",SO,5
" Absolutely. Let's take only one quality today. Let's say being
 courteous is your quality, being humble is your quality, talking
 sweetly is your quality. Don't let it change.
 ",SS,5
" I have seen the difference in people's behaviour when
 they are with different people. In fact, there are people who
 are not as sweet when they speak to their wives, compared
 to when they speak to another person or an outsider or even
 somebody else's wife. Why this kind of a change?
 ",SO,5
" We keep changing our personality so many times during
 the day that we are not even aware of what our true nature
 is. To our spouse, we say 'bring the glass of water,' and to
 someone else I say 'can I have a glass of water, please? Which
 one of these two is my original nature? It's just that when
 we are with our spouse, we do not have the responsibility of
 pleasing them; we take them for granted.
 ",SS,5
" Which one is artificial then?
 ",SO,5
" I have to ask myself.
 ",SS,5
" You mean she will feel nice if I speak in the same way
 to her?
 ",SO,5
" More important is that you will feel nice if you speak that
 way to her. Our behaviour is not for other people; it is first
 for us. Will I speak sweetly to you so that you are happy? No,
 I will speak sweetly because it makes me feel nice.
 ",SS,5
" Since childhood I have been watching my sisters, brothers,
 relations, everybody doing something or the other only for
 the outside world.
 ",SO,5
" That is good. But let's add just one criterion here: taking
 care of myself first and doing for others what I feel comfortable
 doing. There are a lot of people who are doing things for
 others and when they do not get something back in return,
 they sit back and say, I did so much and what did I get in
 return nothing. So, should I be doing it because I want
 something in return?
 ",SS,5
" Suppose you get only criticism in return. How will you feel?
 ",SO,5
" First of all, I need to check how I was feeling while doing
 it. Nice. That's about it! Now if I get criticism, I just check
 whether the criticism is true.
 ",SS,5
" Yesterday I got an email from my niece, saying, 'uncle,
 you do so many good things for us. But you made me feel
 very unhappy when you were rude to me. She recounted
 two incidents and my first justification was 'it was because
 I was tired' Honestly speaking, though, she is right. Yes, I
 was rude
 ",SO,5
" Fine, you can apologise now. But that will only happen
 because you have started looking at yourself. If we give
 justifications for our rudeness, then there is a whole list of
 justifications. We like to justify our inadequacies and hide
 our weaknesses
 ",SS,5
" Here also I blame my mind. I say my mind plays games
 with me, I am not doing anything.
 ",SO,5
" My mind, it's mine. It's my responsibility; I am the creator.
 We speak about our mind as if it was something different from
 us. We are not ready to take responsibility of our mind, saying
 it is not in my control. It's like a parent who has given up on
 their child. Someone comes and says 'your child is not behaving
 properly,' and you reply sorry, my child is not in my control,
 please take care of my child. But because my mind is not in
 my control, I try to control your mind. If you say something
 to me right now and I am not able to control my mind, then
 I try to control you. I say, 'is this the way to speak, because
 I am not able to tell my mind 'is this is the way to think. So
 I focus on teaching you how to speak, because if you speak
 nicely then my mind is comfortable.
 Let's try one thing. Let's see - how we want to think and
 feel and be in every relationship.
 ",SS,5
" How I want to think, feel and be in every relationship!
 ",SO,5
" Let's not concentrate too much on what they will think
 and feel about it. Our attention is always about making other
 people happy
 ",SS,5
" That is tiring.
 ",SO,5
" But don't you think we are doing it every day? I want
 you to be happy, I want my husband to be happy, I want my
 children to be happy, I want my colleagues to be happy, I want
 my parents to be happy. So I am doing this, I am speaking like
 this. It's a very genuine effort, intention is - I want people to
 be happy with me, because when they are happy, then I will
 be happy
 ",SS,5
" Its either this or I say forget it, I have no interest in
 anyone's happiness. It doesn't concern me if someone is
 happy or not.' How do I keep a balance?
 ",SO,5
" In India, when a girl gets married and comes to her
 husband's home, sometimes the husband's family expects
 her to quit her job and be at home. I have met a lot of
 women who quit their jobs and gave up their careers. Why?
 Because my husband and his family felt that I should not
 be working. To make them happy I gave up my career; it's
 been 20 years. But even after 20 years, they are still not
 happy. So it's a question mark for the girl. She sacrificed so
 much, gave up everything that she had studied; sat at home
 for 20 years for them; and the family is still not happy with
 her. The woman gets frustrated. As a newly married young
 girl, when she came into the family it was projected that the
 family would be happy when she quit her job. To make them happy she quit her job, but in the inside she was not happy
 about the decision.
 ",SS,5
" They thought that if their daughter-in-law doesn't work,
 they will be happy. Maybe they are unhappy because of
 some other reason
 ",SO,5
" They are not unhappy because of another reason. She has
 done this to make them happy, but she has been unhappy
 since the day she gave it all up. She is staying in the same
 house for 20 years; she chose not to work, but chose it for
 their happiness. Its not a choice that she made for herself. She
 has done what they wanted, but she is not happy doing it, so
 what's the energy that she has been sending to them for the
 last 20 years? I am unhappy, I am unhappy because of you
 all' So, how can they be happy?
 ",SS,5
" You mean how can they be happy when she is sending
 them constant negative energy?
 ",SO,5
" And this is where the secret lies. I cannot make other
 people happy by doing anything for them. If I choose to do
 something for them, I have to be sure that I am happy first
 while doing it - otherwise, I shouldn't do it.
 ",SS,5
" But aren't there certain things to be done whether you
 are happy or not happy, because they are part of our duties?
 ",SO,5
" You will do the act but you will not give the right energy.
 Its like I give you a gift, it's my duty to give you the gift, but
 when I give it to you, I am upset and uninterested. You won't
 be happy, you won't even look at the gift because what you
 are going to get is the energy of the giver. So I did this for you but what was the energy that I was creating while I was
 doing it? Relationships are not actions; relationships are the
 energies that we exchange while doing those actions. So if it's
 my duty, I first convince my mind why I am doing it and then
 I tell the mind that, I am choosing to do this. I am doing this
 because these people matter to me.' Create the right thought
 and the right energy first before you do something, otherwise
 it is best to leave it.
 ",SS,5
" What is the meaning of duty?
 ",SO,5
" Responsibility. We are living with people, and they have
 certain expectations of how they want me to be and what
 they want me to do. I consider it my responsibility and my
 pure desire to make them happy, so I do what they want me
 to do. But if I do it unhappily, it will not get me the desired
 results. Moreover, because I am doing it for them, very soon
 I will be expecting them to do something for me.
 ",SS,5
" It's very difficult for me to understand this.
 ",SO,5
" That's because our focus is all on the doing. Look at the
 priorities through the day; I have to DO this, I have to DO
 that. The focus has rarely been I have to BE like this.
 ",SS,5
" Let's say for homework, children say I have to do so
 much work. Isn't that correct?
 ",SO,5
" Yes, they have to do it, but care has to be on how they are
 feeling while doing it. They need to be calm, peaceful, happy,
 and then do it. Lets say I have to run from here to there; I
 have to be healthy to do it. If I am not healthy and I try to
 run, the journey will be tiresome, painful and a struggle. Now
 for everything that I am doing the whole day, my whole life, if
 I am emotionally healthy, then whatever I do will be beautiful
 ",SS,5
" So how should we be emotionally healthy?
 ",SO,5
" That's an important aspect. It's important to understand
 that this is an aspect of my life which we have taken for
 granted, which we thought will happen on its own; which we
 thought other people will take care of. We always thought - I
 am supposed to make you happy and you are supposed to
 make me happy.
 ",SS,5
" So often I have heard people saying 'when I get married
 I will be very happy, I am tired of my mother, brothers and
 sisters.' As it turns out, they are not happy when they get
 married also and it's back to square one. That's why I asked
 you this question: how and what to do to be emotionally
 balanced and stable and to be happy in almost all conditions?
 ",SO,5
" There are people who are not happy in their marriages and
 looking for relationships outside their marriage
 ",SS,5
" Then they break that as well and go to the third one.
 ",SO,5
" Because we thought happiness has to come from the other
 person. So we kept searching.
 ",SS,5
" So finally we come to the conclusion that happiness
 cannot come from outside at all. We have been working so
 hard in the wrong direction. We went to temples, we did
 social work, went shopping, watched movies, parties, alcohol
 each time we only wanted to be happy. Now we have to work
 the other way round.
 ",SO,5
" See, whenever I take the mind to something else, what
 happens? I am watching a television show or a movie. What
 happens? Whatever was going on in my mind has been put
 off for some time. Suppose you have a toothache and you start
 watching a movie, very soon you will forget the toothache.
 When you switch off the TV, the pain seems to start again.
 What happened? Does it mean that the tooth was healed and
 now it's again hurt? No, it was always in pain but the mind
 was distracted. My tooth is paining and I am aware of the
 pain. Who is aware of the pain? The mind is. Then I take my
 mind to something else, whether it's a conversation, a shopping
 trip, or a television programme. I feel the pain is gone but it
 is not - it's just that I am not aware of the pain. Then, when
 the TV is switched off, I can feel the pain again. Now this is
 the case of a physical pain, same is when there is an emotional
 pain. The whole day was tough, I created a lot of stress and
 anxiety; then I say let's go for a movie, 'let's go for a holiday.
 'let's take a break from here and go away for 15 days.
 ",SS,5
" Is it escapism?
 ",SO,5
" It's just that we are trying to take the mind away from there.
 ",SS,5
" Shall we call it temporary happiness?
 ",SO,5
" Not happiness, it's a temporary deviation of the mind from
 the truth. It's not happiness because we are coming back to it
 after sometime. See, we can call it happiness if it was healed;
 your tooth was not healed, it was just that you were not aware
 of the pain.
 ",SS,5
" So why do we go for holidays, picnics, movies and all
 that?
 ",SO,5
" It's a change: it's entertainment; it's different from the routine.
 Let's just be aware of our thoughts and let's not try and
 deviate our mind to something else in the pursuit of happiness.
 We are suppressing the conscious mind by getting distracted and
 then thinking that this will bring us happiness. The minute the
 distraction is removed, my conscious mind is back there and
 it is back with probably more pain. So I need to take charge;
 this is not the solution, this is just running away from the
 problem. But for how long can we run away? How long can
 we be on a holiday? Finally, I am going to be back at work.",SS,5
" I read somewhere that peace and happiness almost
 go hand-in-hand. The writer says there is peace in the
 smile of a child, in the tender touch of one's mother;
 it has got nothing to do with God or religion but
 everything to do with the state of one's mind.
 ",SO,6
" Absolutely. In both the instances, the author is talking
 about the vibrations of the being. The smile of the child
 emanates vibrations of purity and innocence, and the touch
 of the mother has vibrations of love and unconditional
 acceptance. When we experience these gestures, more than
 the act, it is the vibration in the energy that we experience
 and that's why there is peace. And wherever there is peace,
 there will be happiness
 ",SS,6
" So the mother and the child are so natural. For elders
 you have to make an effort.
 ",SO,6
" That's what it's all about; about making it natural. The effort
 happens when you are trying to do it for the other person
 while the natural is when you are just being yourself. If I am
 trying to do things according to what I think will make you
 happy, then it is an effort; but if I am just being myself, then
 it's natural
 ",SS,6
" You mean to say being myself or being natural is
 peace, love and happiness.
 ",SO,6
" Yes. I just have to be in that awareness that these are my
 natural qualities. These are not qualities that I will acquire
 when I do something; it's my natural personality, my natural
 sanskar. It's my original state of being: I just have to remember
 it and let it flow not look for it outside
 ",SS,6
" All my life I have been hearing people say 'look, I am
 a December-born,' 'I am a January-born,' 'I am a Leo,' 'I
 am a Taurus,' I am a so-and-so.' I am a short-tempered
 person, my husband is so-and-so, my wife is sweet. It's so
 easy to attribute things to one's birth and say 'I am like
 this. Now we have got to learn that all of this is wrong.
 ",SO,6
" There's a very beautiful word in Hindi - sanskars. It's the
 personality trait. Every being carries five types of sanskars and
 that's why it's important to understand the being, because
 it is a package made up of these five types of sanskars. The
 first set of sanskars we get from the family. We are within
 the vibration of the family members, so that energy is
 automatically influencing us. The second set of sanskars
 comes from my environment, my country, my religion, caste,
 city, school and friends. We have always heard - you will be
 coloured by the company you keep. The environment and
 the people around you, the energy around you, the belief
 systems around you, these create sanskars.
 The third type of sanskar is sanskars of the past. When l
 understand that I am a spiritual being and so I don't die - I
 just change costumes and my journey is through each and every costume. Then there are certain sets of sanskars which I
 have created in my past costumes. Today I am in this costume,
 I am doing a lot of actions, its creating an impression, it's
 creating a sanskar. It's time to leave this body but the sanskars
 don't get erased, it's like a recording of songs on the CD which
 was created and you take that CD and put it on another
 every costume player, you are still carrying those songs.
 ",SS,6
" Let's forget about past life since we don't know how
 many of us believe in it.
 ",SO,6
" It's not about believing in it; it's because we don't understand
 it that we have a lot of conflicts today. You know, the biggest
 conflict today in a family is that parents expect all their children
 to be the same, Oh, I have given the same upbringing to both
 my children, then why are they so different. The parents are
 same, the family is same, the environment is same, so they
 naturally expect the sanskars of all the children to be the same
 Yet, two children can be twins, born under the same zodiac
 sign, on the same date and at the same place, and they may
 go to the same school, grow up in the same environment,
 their personalities will be different. Because few years
 back when they were in two different costumes, they were
 not in the same family, they were not in the same country,
 they were not in the same environment. They have had
 different past, and they are carrying their pasts. We cannot
 ignore the fact of the past life's sanskars because they are a
 dominant factor in determining the present. We are not
 able to understand people because we are only seeing them
 in their present costume; we are unable to see that they are
 carrying a past.
 ",SS,6
" It's a nice way for parents to understand their child.
 ",SO,6
" We keep saying, 'look at your brother, you should be
 like him.' We don't understand that they are two different
 personalities like the two CDs with two different recordings,
 which have come to our house and we are trying to make
 one similar to the other.
 ",SS,6
" I have heard mothers telling their children, 'look at
 the other boy and look at you; I often doubt that you are
 my child; you may have been replaced in the hospital
 How hurting these words must be.
 ",SO,6
" She fails to understand from where her child has got
 the sanskars that she hasn't given to the child. It's tough for
 the child too, because even he doesn't know why he has
 these sanskars. For example, a child could have a sanskar of
 stealing. He comes from a wealthy family and has everything
 at home, yet when he goes to school he will pick up another
 child's pencil. It's something that comes instinctively to
 him; he doesn't do it logically. That's because the being,
 the spiritual energy, the soul has carried some sanskars. When
 we are unaware, the sanskars will come into play automatically.
 ",SS,6
" It's difficult to reach this level of
 awareness. Often there is such a small gap between a
 thing happening and my reaction. In that split second
 will I remember that I should not react like this? I
 used to see, many Guru, there would be a huge explosion during
 Diwali and his eye would not even blink. How do
 we reach that stage?
 ",SO,6
" It comes with attention and practice. Earlier if I was
 conducting a workshop and somebody's mobile phone rang,
 I would get disturbed. There I was talking to the gathering
 about stability, but inside I was disturbed.
 ",SS,6
" So it was one step leading to another? Earlier you were
 disturbed, another time you must have said, 'it's okay,
 they are like that' Next time, you are not even bothered
 if they are 'like that' or not; it really doesn't matter to
 you. It doesn't distract you anymore. Aren't these the
 stages then? One has to go through stages; one cannot
 go straight to your stage.
 ",SO,6
" Some people will say 'it's going to take years and years.
 No, it doesn't take years, it's just one thought of awareness
 otherwise I can get irritated by a mobile phone for a lifetime.
 We can live our lives getting irritated by the mobiles that are
 ringing around us.
 ",SS,6
" What is the meaning of one thought of awareness?
 ",SO,6
" One thought is 'How can I allow one unimportant
 ringtone to disturb my mind?' This is just one thought.
 I don't think about the opposite person because it is not the
 ringtone that disturbs us; it's the thoughts that I create
 alter listening to the ringtone. Why did they not switch off their
 mobiles? Don't they know that they are in a public programme?
 It's courtesy that you switch off your mobile. So it's not the
 ringtone that irritates me; it's the thoughts that I create
 in response to the ringtone that irritate me. The ringtone
 is just a trigger. I have to realize what is disturbing me. It is
 my own thoughts. My thought is that they should be polite
 enough to switch off the phone. Now I change my thought
 it's their choice, whether they want to switch it off or
 and I respect their choice.
 ",SS,6
" I used to get disturbed even if somebody walked in
 front of me while I was acting my scene. Now I can see
 so many people moving around, and now I am learning
 to accept it
 ",SO,6
" Now this is where we are creating the fourth type of
 sanskar. Getting irritated was one of the past sanskars,
 whether it came from the past birth, or from the current
 environment. With awareness we can change our sanskar.
 This is creating sanskars with our own will power. So we
 cannot keep blaming - oh, I can't help it, this must be a past
 sanskar. It's all about awareness.
 ",SS,6
" You are saying that awareness will bring will power.
 ",SO,6
" Yes. It's will power that I will use to create a new sanskar
 See, every time I say 'this is because of you'; I am getting
 irritated because of this'; I imply that I am not powerful and
 others can overpower me. Will power means I have the power
 to choose, to think and be and do what I want. Every time I
 use that power, it's will power. Many times we feel we don't
 have will power. Everyone has power, everyone has the same
 amount of will power; it just depends on how much we are
 going to use it. It depends on how we are going to sit back
 and stop blaming others. We disempower ourselves by not
 using our will power.
 ",SS,6
" I met someone who took two days to quit his habit
 of drinking of 30 years. You mean to say I have the same
 amount of will power as him? If yes, then what is it that
 I am unable to see that I have will power or what is it
 that's stopping me from using it?
 ",SO,6
" It's simple: I am not using it. A human quality is useful
 only if it is being used.
 ",SS,6
" But what if I don't know whether I have a quality
 or not? I don't know how to see or use the quality.
 ",SO,6
" That's why we are learning. It's that area of life on which
 we now start focusing attention. If we say we don't have time
 for spirituality; we don't have time to meditate; then we are
 choosing not to use the powers that we have. We are choosing
 not to apply the tools that are there.
 It's like I have a whole lot of property in my locker but
 I am refuse to open it and use it for myself and helping
 others; rather, I go around begging people for love, peace and
 happiness because I don't want to use the time to go into my
 own locker, open it and use it from there.
 ",SS,6
" So your locker is meditation?
 ",SO,6
" It's here in the mind and the key is with us, and only we
 know how to open it.
 ",SS,6
" So there is no need to go to anyone for getting my
 locker opened, for developing my powers.
 ",SO,6
" If we go somewhere, somebody out there could be
 instrumental in telling us how to open it, but finally no one
 else can open it for us. No one can activate the will power
 for us; that someone can only help us realize that we have
 this power. A simple example is when we want to give up
 our addictions. Someone may want to give up alcohol,
 cut down their TV watching time, or Internet surfing. We
 create a powerful positive thought,
 Today I will watch TV only for an hour.' We are aware
 of this positive thought we create, but we are not aware of so
 many negative thoughts we create immediately, It is difficult
 for me .. I love watching TV.. I have tried many times
 but I always fail. 
 It's my habit. Can't go in one day .. Obviously
 it will take time. Now we created one positive thought to
 empower ourselves, and then followed by so many negative
 thoughts which will disempower us. Once you have decided
 to do something, just create one single thought and start
 working on it.
 ",SS,6
" If we all have the same will power, then how is it
 that some are able to give up their addictions sooner
 than others.
 ",SO,6
" Everyone has equal will power because everyone is a powerful
 being; realizing my own will power depends on how much
 am aware that I am a powerful being and how much I use it
 Of course, the people around me also make a difference
 You know, we are largely responsible for reducing the will
 power of those around us, especially our children. Let's say
 your child spends too much time on the Internet and you
 tell him that from tomorrow he is going to be on it only for
 an hour. Your words are affirmative, but your thoughts are
 of doubt and failure in giving up the addiction.
 ",SS,6
" Internally I am so sure that my child will not be
 able to do it.
 ",SO,6
" Every thought that I create is the energy that I am
 showing or radiating to the child
 ",SS,6
" But why should the child get disturbed by the energy
 of the parent?
 ",SO,6
